hour,total_registros,registros_ocupados,registros_no_ocupados,proporcion_ocupacion,prop_ocupado,prop_no_ocupado
0,660,0,660,0.0,0.0,1.0
1,671,0,671,0.0,0.0,1.0
2,649,0,649,0.0,0.0,1.0
3,660,0,660,0.0,0.0,1.0
4,671,0,671,0.0,0.0,1.0
5,649,0,649,0.0,0.0,1.0
6,660,0,660,0.0,0.0,1.0
7,671,72,599,0.10730253353204174,0.10730253353204174,0.8926974664679582
8,649,315,334,0.48536209553158705,0.48536209553158705,0.514637904468413
9,594,578,16,0.9730639730639731,0.9730639730639731,0.026936026936026935
10,532,501,31,0.9417293233082706,0.9417293233082706,0.05827067669172932
11,472,405,67,0.8580508474576272,0.8580508474576272,0.1419491525423729
12,480,409,71,0.8520833333333333,0.8520833333333333,0.14791666666666667
13,488,234,254,0.47950819672131145,0.47950819672131145,0.5204918032786885
14,525,456,69,0.8685714285714285,0.8685714285714285,0.13142857142857142
15,600,537,63,0.895,0.895,0.105
16,610,600,10,0.9836065573770492,0.9836065573770492,0.01639344262295082
17,599,559,40,0.9332220367278798,0.9332220367278798,0.0667779632721202
18,660,84,576,0.12727272727272726,0.12727272727272726,0.8727272727272727
19,671,0,671,0.0,0.0,1.0
20,649,0,649,0.0,0.0,1.0
21,660,0,660,0.0,0.0,1.0
22,671,0,671,0.0,0.0,1.0
23,649,0,649,0.0,0.0,1.0
