model,dataset,accuracy,precision,recall,f1,auc_roc
LogisticRegression,test1,0.9786116322701689,0.9463414634146341,0.9979423868312757,0.971457185778668,0.9920557658137233
SVM_RBF,test1,0.9699812382739212,0.9263862332695985,0.9969135802469136,0.9603567888999008,0.986350841883427
GradientBoosting,test1,0.9437148217636022,0.9448051948051948,0.8981481481481481,0.9208860759493671,0.9896754732024142
RandomForest,test1,0.9343339587242027,0.9432703003337041,0.8724279835390947,0.9064671298770711,0.9865665691943831
Baseline_MostFrequent,test1,0.6352720450281426,0.0,0.0,0.0,0.5
LogisticRegression,test2,0.9915914684167351,0.9667774086378738,0.9941434846266471,0.980269489894129,0.9958076965063463
SVM_RBF,test2,0.9597005742411813,0.8410214168039539,0.9965836993655441,0.912218003127094,0.9949163196100319
RandomForest,test2,0.9605209187858901,0.8809523809523809,0.9389946315275745,0.9090479565320104,0.9929637993525748
GradientBoosting,test2,0.9494462674323215,0.9502314814814815,0.8013665202537823,0.8694731268202277,0.9695613068552135
Baseline_MostFrequent,test2,0.7898892534864643,0.0,0.0,0.0,0.5
LogisticRegression,test_combined,0.9888056696464524,0.9600893997445722,0.9953657729228732,0.9774093937916464,0.9951537266662805
SVM_RBF,test_combined,0.9619070628976404,0.8667242371905585,0.9966898378020523,0.9271747498075442,0.9934251920958006
RandomForest,test_combined,0.9549005395828299,0.8991242296464482,0.9175769612711023,0.908256880733945,0.9908124503528515
GradientBoosting,test_combined,0.9482161552709995,0.948340874811463,0.8325057927838464,0.8866560902520713,0.9781028155543521
Baseline_MostFrequent,test_combined,0.7567045179995168,0.0,0.0,0.0,0.5
